Rank 	 Pose Confidence

1 	 -0.5792447924613953
2 	 -0.6325758695602417
3 	 -0.662047266960144
4 	 -0.7170588374137878
5 	 -0.7709924578666687
6 	 -0.8065066337585449
7 	 -0.8246220350265503
8 	 -0.9802814722061157
9 	 -1.2362322807312012
10 	 -1.2530181407928467
11 	 -1.379037618637085
12 	 -1.6691820621490479
13 	 -1.800929069519043
14 	 -2.0481491088867188
15 	 -2.4371960163116455
16 	 -2.6667261123657227
17 	 -3.2470009326934814
18 	 -3.401843547821045
19 	 -3.5488908290863037
20 	 -4.167436599731445
