Rank 	 Pose Confidence 

1 	 -1.2247594594955444
2 	 -1.560929536819458
3 	 -1.6728065013885498
4 	 -1.6804381608963013
5 	 -1.9042128324508667
6 	 -1.9159795045852661
7 	 -2.01190447807312
8 	 -2.0571601390838623
9 	 -2.125305414199829
10 	 -2.202314615249634
11 	 -2.3663313388824463
12 	 -2.4058516025543213
13 	 -2.4123003482818604
14 	 -2.508392095565796
15 	 -2.5967628955841064
16 	 -3.098737955093384
17 	 -3.2017111778259277
18 	 -3.573119640350342
19 	 -3.701807975769043
20 	 -3.718153953552246
