Ligand SMILES,IC50 (nM),pIC50,activity_class,MolWt,TPSA,HBD,HBA,RotBonds,LogP,is_known_binder
O[C@H]1c2c(CC1(F)F)c(Oc1cc(F)cc(F)c1)ccc2C#N, 35.0,7.455931955649724,strong,323.24500000000006,53.25,1.0,3.0,2.0,3.8535800000000027,True
O=Cc1ccc(CCCCCCCCCCC\C=C/CCCCCCC#N)[nH]1, 10000,5.0,weak,384.6080000000002,56.65,1.0,2.0,19.0,7.6910800000000075,True
CC(C)COc1sc(c2[C@H](O)C(F)(F)Cc12)S(C)(=O)=O, 155000,3.8096683018297086,weak,326.386,63.6,1.0,5.0,4.0,2.411200000000001,True
COc1c(F)cccc1C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1, 10.00,8.0,strong,505.60500000000036,41.93000000000001,1.0,4.0,8.0,6.648000000000008,False
C[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1CC(F)(F)F)c1c(F)ccc(NCCNCCCF)c1F, 0.280,9.55284196865778,strong,498.5150000000002,43.09,3.0,3.0,9.0,5.705500000000005,False
CCCCOC(=O)C1=C(N)Oc2cc(O)ccc2C1c1ccc(OCCN2CCCCC2)cc1, 30,7.522878745280337,strong,466.5780000000004,94.25,2.0,7.0,9.0,4.294800000000004,False
CC(C)CN(Cc1ccc2OC(C)(C)C=Cc2c1)S(=O)(=O)c1cccc2ccccc12, 656,6.1830961606243395,weak,435.5890000000001,46.61,0.0,3.0,6.0,5.870900000000006,True
CS(=O)(=O)c1sc(Oc2cc(F)cc(c2)C#N)c2CC(F)(F)[C@@H](O)c12, 2600,5.585026652029182,weak,389.3760000000001,87.39,1.0,6.0,3.0,3.179480000000002,True
O[C@H]1c2c(CC1(F)F)c(Oc1cc(F)cc(c1)C#N)ccc2S(=O)(=O)C(F)F, 8.00,8.096910013008056,strong,419.32700000000006,87.38999999999999,1.0,5.0,4.0,3.7107800000000024,True
COc1ccc(OCCNCCCF)cc1[C@H]1N(C[C@H](C)C(O)=O)[C@H](C)Cc2c1[nH]c1ccccc21, 40.0,7.3979400086720375,strong,497.6110000000003,86.82,3.0,5.0,12.0,4.561200000000004,False
CCCn1cncc1\C=C\c1ccc(Oc2c(sc3cc(O)ccc23)-c2ccc(O)cc2)cc1, 10.00,8.0,strong,468.57800000000015,67.51,2.0,6.0,7.0,7.548700000000007,False
O=C(COc1ccc(cc1)C12CC3CC(CC(C3)C1)C2)Nc1cccc(c1)C(=O)NCc1ccco1, 14080,4.851397345193907,weak,484.5960000000002,80.57,2.0,4.0,8.0,5.694900000000005,True
NS(=O)(=O)c1ccc(Oc2cc(F)cc(c2)C#N)c2[C@@H](O)C(F)(F)[C@@H](O)c12, 3670,5.43533393574791,weak,400.334,133.64000000000001,3.0,6.0,3.0,1.8527800000000005,True
CCOc1ccc(c(F)c1F)C1=C(c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c2ccc(O)cc2CCC1, 29.0,7.5376020021010435,strong,537.6220000000003,41.93000000000001,1.0,4.0,9.0,7.177200000000008,False
C[C@H]1CC[C@@H]2OC(C)(C)C(=O)CC[C@@]2(C)[C@]1(O)CC[C@@H]1C(=C)CC[C@@H]2OC(C)(C)[C@@H](CC[C@@]12C)OC(C)=O, 20000,4.698970004336019,weak,532.7620000000004,82.06,1.0,6.0,4.0,6.322400000000007,True
OCc1ccc(o1)-c1nc(Cc2ccccc2)c2ccccn12, 56000,4.251811972993799,weak,304.349,50.67,1.0,4.0,4.0,3.6774000000000022,True
OC1c2c(ccc(Oc3cncc(Cl)c3)c2C(F)F)S(=O)(=O)C1(F)F, 350,6.455931955649724,weak,397.73300000000006,76.49000000000001,1.0,5.0,3.0,3.878400000000002,True
Cc1c(Oc2cc(F)cc(c2)C#N)ccc(c1C#CCO)S(=O)(=O)C(F)(F)F, 13000,4.886056647693163,weak,413.34800000000007,87.38999999999999,1.0,5.0,3.0,3.435400000000002,True
Oc1ccc(cc1)C1=C(C2OC1CC2S(=O)(=O)Oc1cccc2ccccc12)c1ccc([Se]c2ccccc2)cc1, 310,6.508638306165727,weak,625.6040000000002,72.83,1.0,5.0,7.0,5.059700000000005,False
COc1ccc(cc1OC)S(=O)(=O)N(Cc1cc2C=CC(C)(C)Oc2cn1)C1CCCCC1, 1100,5.958607314841775,weak,472.60700000000037,77.96000000000001,0.0,6.0,7.0,4.806600000000005,True
Fc1cc(Cl)cc(Oc2ccc(c(Cl)c2Br)S(=N)(=O)C(F)(F)F)c1, 240,6.619788758288394,weak,467.065,50.15,1.0,3.0,3.0,6.612770000000003,True
C[C@@H]1Cc2c([nH]c3ccc(F)cc23)[C@H](N1CC(F)(F)CO)c1c(F)cnc(OCCNCCCF)c1F, 0.058,10.236572006437063,strong,530.5130000000004,73.41000000000001,3.0,5.0,11.0,4.2718000000000025,False
OC1c2c(CC1(F)F)c(Oc1ccc(F)c3[nH]ncc13)ccc2S(=O)(=O)C(F)(F)F, 68.0,7.167491087293763,strong,452.3320000000001,92.28,2.0,5.0,3.0,4.012600000000001,True
Oc1ccc2c(SCCC(c3ccc(Cl)c(F)c3)=C2c2ccc(O[C@H]3CCN(CCCF)C3)cc2)c1, 22.0,7.657577319177793,strong,528.0640000000004,32.7,1.0,4.0,7.0,7.452300000000008,False
